"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Anoura caudifer",0,0.160390848427073,0.452112676056338,0.543661971830986,NA,NA,460,0.385388498771466,1
"Hippotragus niger",0,0.318517635843661,0.654929577464789,0.183098591549296,NA,NA,643.833333333333,0.385515268285915,1
"Otocyon megalotis",0,0.281935176358437,0.176760563380282,0.698591549295775,NA,NA,601.5,0.385762429678164,1
"Rhinolophus macrotis",1,0.00142993326978074,0.659154929577465,0.497183098591549,NA,NA,275.666666666667,0.385922653812932,1
"Rhinolophus pearsonii",1,0.00309818875119161,0.659154929577465,0.495774647887324,NA,NA,277.666666666667,0.386009255405327,1
"Myotis longipes",0,0.0667302192564347,0.452112676056338,0.63943661971831,NA,NA,351.666666666667,0.386093171677028,1
"Ptenochirus jagori",1,0.0700667302192564,0.566197183098592,0.523943661971831,NA,NA,356,0.386735858429893,1
"Cavia porcellus",1,NA,0.712676056338028,0.0633802816901408,NA,NA,275.5,0.388028169014085,1
"Atelerix albiventris",0,0.286939942802669,0.635211267605634,0.242253521126761,NA,NA,609,0.388134910511688,1
"Pan troglodytes",1,0.50917540514776,0.642253521126761,0.0140845070422535,NA,NA,867.5,0.388504477772258,1
"Rhinolophus blasii",1,0.0133460438512869,0.659154929577465,0.498591549295775,NA,NA,292.666666666667,0.390364174241509,1
"Vespadelus pumilus",0,0.140133460438513,0.35,0.684507042253521,NA,NA,440.833333333333,0.391546834230678,1
"Bradypus tridactylus",0,0.83567683508103,0.108450704225352,0.235211267605634,NA,NA,1250.16666666667,0.393112935637338,1
"Pipistrellus hesperidus",1,0.0352716873212583,0.566197183098592,0.57887323943662,NA,NA,320.333333333333,0.393447369952157,1
"Martes foina",0,0.179099142040038,0.176760563380282,0.830985915492958,NA,NA,489,0.395615206971093,1
"Chalinolobus morio",0,0.133579599618684,0.452112676056338,0.607042253521127,NA,NA,437.5,0.397578176398716,1
